#	學校名稱	地址	電話	網路電話	傳真	學校首頁	更新時間
							
1	中山國小 - 074601	彰化市中山路二段678號	7222033	907004000	04-7286176	http://www.cses.chc.edu.tw/	2023/8/9 01:43
2	民生國小 - 074602	彰化市民生路338號	04-7224122	907006031	04-7235290	http://www.mses.chc.edu.tw	2023/8/4 15:48
3	平和國小 - 074603	彰化市中正路二段450號	04-7222355	907005000	04-7279083	http://www.phes.chc.edu.tw	2023/9/12 08:29
4	南郭國小 - 074604	彰化市中興路98號	04-7280366	907011010	04-7280442	http://www.nges.chc.edu.tw	2023/8/15 11:36
5	南興國小 - 074605	彰化市中山路一段213號	04-7622827	907012000	04-7621702	http://www.nses.chc.edu.tw	2023/8/14 12:09
6	東芳國小 - 074606	彰化市彰馬路45號	04-7523250	907010000	04-7523784	http://www.tfps.chc.edu.tw	2023/9/25 16:16
7	泰和國小 - 074607	彰化市泰和路二段145巷1號 	7222433	907013000	04-7268545	http://www.thps.chc.edu.tw	2023/8/1 14:53
8	三民國小 - 074608	彰化市田中里田中路125號	04-7384775	907001060	04-7384328	http://www.smes.chc.edu.tw	2023/9/14 15:19
9	聯興國小 - 074609	彰化市牛埔里一心南街208號	04-7384340	907015010	7373598	http://www.lsps.chc.edu.tw	2023/8/9 11:08
10	大竹國小 - 074610	彰化市彰南路二段164巷41號	7381436	907003000	7370732	http://www.tces.chc.edu.tw	2023/8/2 09:54
11	國聖國小 - 074611	彰化市中山路三段608號	7321093	907014000	47373433	https://www.gses.chc.edu.tw/	2023/8/3 18:41
12	快官國小 - 074612	彰化市彰南路4段566號	04-7384814	975604008	04-7381704	http://web.kges.chc.edu.tw	2023/8/2 13:41
13	石牌國小 - 074613	彰化市石牌里田坑路一段九號	7381672	907007070	04-7374179	https://www.spes.chc.edu.tw/home	2023/9/15 11:10
14	忠孝國小 - 074614	彰化縣彰化市忠誠路61號	7523944	907009999	7627163	https://www.jsps.chc.edu.tw/	2023/8/3 11:02
15	芬園國小 - 074615	彰化縣芬園鄉社口村彰南路四段27巷28號	049-2522208	907018-000	049-2521438	https://www.fyps.chc.edu.tw	2023/8/7 16:05
16	富山國小 - 074616	彰化縣芬園鄉大埔村大埔路6號	492522084	907020011	492527652	http://tw.school.uschoolnet.com/?id=es00001430	2023/8/1 08:37
17	寶山國小 - 074617	彰化縣芬園鄉圳墘村彰南路二段36號	049-2525010	907021011	049-2522710	http://www.bses.chc.edu.tw	2023/8/15 19:54
18	同安國小 - 074618	彰化縣芬園鄉中崙村大彰路2段400巷36號	04-8590502	907017011	04-8591515	http://www.taes.chc.edu.tw/	2023/8/1 10:23
19	文德國小 - 074619	彰化縣芬園鄉大竹村大彰路一段617號	04-8590012	0	04-8591205	http://www.wdes.chc.edu.tw	2023/8/1 08:32
20	茄荖國小 - 074620	芬園鄉茄荖村嘉北街96號	049-2523018	907019010	049-2525249	http://www.cles.chc.edu.tw	2023/8/1 08:31
21	花壇國小 - 074621	彰化縣花壇鄉長沙村學前路 108 號	7862029	907025999	04-7860370	http://www.htes.chc.edu.tw	2023/10/2 16:26
22	文祥國小 - 074622	彰化縣花壇鄉劉厝村明雅街131號	7862255	0	7873461	https://www.wses.chc.edu.tw/	2023/9/8 15:23
